ObjectID,Tree Species,Diameter of Tree,Height of Tree,Condition,Site Factors,Type of Soil,Weather factors,Diameter of Failed Part,Length of Failed Part,Failed Part,Root Failure,Stem Failure,Branch Failure,Location and Percentage of Decay,Decay Present
169,AcerMacrophyllum,48,85,Poor,"NaturalArea,SteepSlope",Clay,Wind,32,80.0,StemFailure,None,"DidNotBreakatAttachment,CodominantAttachement,IncludedBark,Cavity,Buldge,DecayPresent",None,"Heartwood,Decay>75%","ArmillariaSpp.,KretzchmariaDuesta"
170,PiceaAbies,16,55,Good,"UrbanEnviroment,Lawn",Silt,"Rain,Wind",16,55.0,RootFailure,"SoilFailure,MechanicalDamage,UncorrectedTreeLean,HeavyCanopyRelatedtoPoorPruning",None,None,None,None
171,PseudotsugaMenziesii,20,70,Dead,NaturalArea,Dirt,Ice,8,20.0,StemFailure,None,"StemwasDead,DecayPresent",None,"Decay>25%,Decay>50%",None
172,AcerMacrophyllum,86,80,Poor,"NaturalArea,SteepSlope",Clay,Wind,18,89.0,StemFailure,None,"UncorrectedTreeLean,CodominantAttachement,BreakatAttachment,DecayPresent",None,Decay>75%,KretzchmariaDuesta
173,AcerMacrophyllum,24,60,Fair,"NaturalArea,SteepSlope",Clay,Wind,10,40.0,BranchFailure,None,None,"BranchAngledUp,CodominantAttachement,IncludedBark","Heartwood,Decay>50%",KretzchmariaDuesta
174,CedrusDeodara,33,75,Good,None,Dirt,None,4,20.0,BranchFailure,None,None,None,None,None
175,PopulusTrichocarpa,22,50,Dead,"NaturalArea,SoilCompaction",Dirt,None,6,25.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchAngledUp",None,None
176,PopulusTrichocarpa,22,50,Dead,None,Dirt,"Wind,Rain",4,20.0,BranchFailure,None,None,BranchAngledUp,None,None
177,AcerMacrophyllum,28,50,Fair,None,Dirt,None,7,34.375,BranchFailure,None,None,None,None,None
178,ArbutusMenziesii,51,65,Poor,None,Dirt,None,30,35.0,StemFailure,None,None,None,None,None
179,PrunusAvium,16,75,Dead,None,Dirt,None,16,49.1165611814346,StemFailure,None,None,None,None,None
180,PopulusNigra,17,45,Dead,None,Dirt,None,4,21.140229885057472,BranchFailure,None,None,None,None,None
181,AcerMacrophyllum,32,45,Poor,None,Dirt,None,12,57.333333333333336,StemFailure,None,None,None,None,None
182,LiriodendronTulipifera,24,65,Fair,None,Dirt,None,4,21.140229885057472,BranchFailure,None,None,None,None,None
183,PinusNigra,5,15,Poor,None,Dirt,None,5,65.38950786056049,RootFailure,GridledRoots,None,None,None,None
184,AcerMacrophyllum,18,75,Fair,None,Dirt,None,8,57.333333333333336,StemFailure,None,None,None,None,None
185,PseudotsugaMenziesii,19,55,Poor,"UrbanEnviroment,SoilCompaction,RootsRestricted",Dirt,None,19,55.0,RootFailure,RootPlateLifted,None,None,Root,ArmillariaSpp.
186,MalusPumilla,18,20,Fair,None,Dirt,None,18,30.0,RootFailure,None,None,None,None,None
187,PseudotsugaMenziesii,20,85,Good,"SteepSlope,NaturalArea,RemovalofNearbyTree",Clay,"Wind,Rain",20,85.0,RootFailure,"RootPlateLifted,BrokenRoots,DecayOrganismPresent",None,None,"Root,Decay>50%",PhellinusWeirii
188,PseudotsugaMenziesii,20,85,Good,"SteepSlope,NaturalArea,RemovalofNearbyTree",Clay,"Wind,Rain",8,25.0,StemFailure,None,"DidNotBreakatAttachment,DecayPresent",None,"Decay>50%,Heartwood,Sapwood",PorodadaleaPini
189,PseudotsugaMenziesii,20,85,Good,"SteepSlope,NaturalArea,RemovalofNearbyTree",Clay,"Wind,Rain",3,15.0,BranchFailure,None,None,"BreakatAttachment,BranchHorizontal",None,None
190,PseudotsugaMenziesii,20,85,Good,"SteepSlope,NaturalArea,RemovalofNearbyTree",Clay,"Wind,Rain",3,15.0,BranchFailure,None,None,"BreakatAttachment,BranchHorizontal",None,None
191,PseudotsugaMenziesii,24,95,Good,UrbanEnviroment,Clay,"Wind,Rain",3,15.0,BranchFailure,None,None,"BreakatAttachment,BranchHorizontal",None,None
192,PseudotsugaMenziesii,26,95,Good,UrbanEnviroment,Clay,"Wind,Rain",3,15.0,BranchFailure,None,None,"BreakatAttachment,BranchHorizontal",None,None
193,AcerMacrophyllum,18,55,Poor,"UrbanEnviroment,NaturalArea,SteepSlope",Clay,"Wind,Rain",18,55.0,RootFailure,"RootPlateLifted,BrokenRoots,DecayOrganismPresent,CorrectedTreeLean",None,None,"Root,Heartwood,Decay>75%",KretzchmariaDuesta
194,AlnusRubra,10,35,Good,UrbanEnviroment,Clay,"Wind,Rain",10,35.0,RootFailure,"DecayOrganismPresent,BrokenRoots,UncorrectedTreeLean,SoilFailure",None,None,None,None
195,PseudotsugaMenziesii,27,65,Fair,None,Dirt,Wind,22,40.0,StemFailure,None,CodominantAttachement,None,Heartwood,None
196,AcerPlatanoides,35,45,Fair,None,Dirt,None,10,21.140229885057472,BranchFailure,None,None,None,None,None
197,CedrusAtlantica,40,50,Good,None,Dirt,None,8,49.1165611814346,StemFailure,None,None,None,None,None
198,PrunusAvium,12,1,Good,None,Dirt,None,10,49.1165611814346,StemFailure,None,None,None,None,None
199,AlnusRubra,16,60,Dead,None,Dirt,None,12,51.0,StemFailure,None,None,None,None,None
200,AcerMacrophyllum,15,50,Good,NaturalArea,Dirt,"Snow,Wind",8,35.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
201,ChamecyparisPisifera,17,50,Good,"Lawn,UrbanEnviroment",Dirt,"Wind,Snow",12,25.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
202,ThujaPlicata,27,60,Good,"Lawn,UrbanEnviroment",Dirt,"Wind,Snow",9,25.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
203,ChamaecyparisLawsoniana,32,50,Poor,UrbanEnviroment,Dirt,"Wind,Snow",32,65.0,RootFailure,"BrokenRoots,DecayOrganismPresent",None,None,"Root,Decay>75%",PhytophthoraCinnamomii
204,AlnusRubra,26,70,Poor,NaturalArea,Dirt,"Wind,Snow",26,75.0,RootFailure,"BrokenRoots,DecayOrganismPresent",None,None,"Root,Decay>75%",ArmillariaSpp.
205,AcerMacrophyllum,43,70,Good,NaturalArea,Dirt,"Wind,Snow",14,50.0,StemFailure,None,"BreakatAttachment,UncorrectedTreeLean",None,None,None
206,AlnusRubra,22,70,Good,NaturalArea,Dirt,"Wind,Snow",22,70.0,RootFailure,BrokenRoots,None,None,None,None
207,AlnusRubra,20,70,Good,NaturalArea,Dirt,"Wind,Snow",20,70.0,RootFailure,BrokenRoots,None,None,None,None
208,PseudotsugaMenziesii,84,125,Fair,SoilCompaction,Clay,Wind,24,65.0,StemFailure,None,DecayPresent,None,Decay>50%,None
209,ArbutusMenziesii,26,50,Good,None,Dirt,Wind,18,40.0,StemFailure,None,"BreakatAttachment,CodominantAttachement",None,None,None
210,QuercusPalustris,25,40,Fair,"UrbanEnviroment,SoilCompaction",Dirt,Wind,20,20.0,StemFailure,None,"DidNotBreakatAttachment,Topping,DecayPresent",None,Decay>50%,None
211,AlnusRubra,12,40,Fair,NaturalArea,Dirt,Snow,12,40.0,RootFailure,"RootPlateLifted,UncorrectedTreeLean",None,None,None,None
212,PinusSylvestris,19,80,Good,NaturalArea,Dirt,Snow,8,25.0,StemFailure,None,None,None,None,None
213,QuercusRubra,26,65,Fair,"UrbanEnviroment,RootsRestricted",Dirt,Snow,26,65.0,RootFailure,"RootPlateLifted,BrokenRoots,DecayOrganismPresent,CutRoots",None,None,"Root,Decay>75%",ArmillariaSpp.
214,AcerMacrophyllum,22,60,Fair,"NaturalArea,SteepSlope",Dirt,Snow,22,55.0,StemFailure,None,"DidNotBreakatAttachment,UncorrectedTreeLean",None,Heartwood,KretzchmariaDuesta
215,PopulusTrichocarpa,30,50,Good,"NaturalArea,SteepSlope",Dirt,Snow,30,55.0,RootFailure,RootPlateLifted,None,None,None,None
216,AlnusRubra,23,40,Good,"NaturalArea,SteepSlope",Dirt,Snow,20,40.0,RootFailure,UncorrectedTreeLean,None,None,None,None
217,CrataegusLaevigata,9,25,Good,"NaturalArea,SteepSlope",Dirt,Snow,9,25.0,RootFailure,RootPlateLifted,None,None,None,None
218,AcerMacrophyllum,22,40,Fair,"UrbanEnviroment,Lawn",Dirt,Snow,12,45.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,UncorrectedTreeLean,DecayPresent",None,"Heartwood,Decay>75%",KretzchmariaDuesta
219,PinusSylvestris,9,35,Good,None,Dirt,Snow,7,20.0,StemFailure,None,"DidNotBreakatAttachment,UncorrectedTreeLean",None,None,None
220,PseudotsugaMenziesii,18,60,Good,None,Dirt,Snow,8,20.0,StemFailure,None,None,None,None,None
221,AcerMacrophyllum,12,55,Good,None,Dirt,Snow,12,55.0,RootFailure,None,None,None,None,None
222,SalixLasiandra,17,25,Good,None,Dirt,Snow,6,15.0,BranchFailure,None,None,None,None,None
223,AcerMacrophyllum,12,45,Fair,"NaturalArea,SteepSlope",Dirt,Snow,12,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
224,MalusPumilla,15,20,Fair,None,Dirt,Snow,7,10.0,BranchFailure,None,None,None,None,None
225,MalusPumilla,20,30,Fair,None,Dirt,Snow,20,30.0,RootFailure,"UncorrectedTreeLean,HeavyCanopyRelatedtoPoorPruning",None,None,None,None
226,AcerMacrophyllum,15,50,Fair,"NaturalArea,SteepSlope",Dirt,Snow,15,50.0,RootFailure,None,None,None,None,None
227,SalixLasiandra,5,15,Good,"SteepSlope,NaturalArea",Dirt,Snow,5,35.0,RootFailure,None,None,None,None,None
228,AcerMacrophyllum,26,50,Fair,None,Dirt,Snow,15,50.0,StemFailure,None,"BreakatAttachment,UncorrectedTreeLean,DecayPresent",None,"Heartwood,Decay>50%",KretzchmariaDuesta
229,SalixLasiandra,9,15,Good,"NaturalArea,SteepSlope",Dirt,Snow,9,35.0,RootFailure,UncorrectedTreeLean,None,None,None,None
230,QuercusRubra,19,60,Good,None,Dirt,Snow,8,20.0,BranchFailure,None,None,BranchHorizontal,None,None
231,PinusSylvestris,11,40,Good,UrbanEnviroment,Dirt,Snow,5,10.0,StemFailure,None,UncorrectedTreeLean,None,None,None
232,AcerMacrophyllum,30,7,Fair,"NaturalArea,SteepSlope",Dirt,Snow,15,70.0,StemFailure,None,"BreakatAttachment,UncorrectedTreeLean,DecayPresent",None,"Heartwood,Decay>50%",KretzchmariaDuesta
233,AlnusRubra,110,70,Poor,NaturalArea,Clay,Snow,110,70.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,IncludedBark,DecayPresent",None,"Heartwood,Root,Sapwood,Decay>75%","PhytophthoraCactorum,KretzchmariaDuesta"
234,PseudotsugaMenziesii,16,75,Good,UrbanEnviroment,Dirt,Snow,3,20.0,BranchFailure,None,None,DidNotBreakatAttachment,None,None
235,PseudotsugaMenziesii,26,80,Good,None,Dirt,Snow,3,15.0,BranchFailure,None,None,None,None,None
236,PinusNigra,16,55,Good,"NaturalArea,SteepSlope",Dirt,Snow,16,40.0,StemFailure,None,"DidNotBreakatAttachment,UncorrectedTreeLean",None,None,None
237,CedrusAtlantica,25,75,Good,None,Dirt,Snow,5,15.0,BranchFailure,None,None,None,None,None
238,PyrusCalleryana,10,25,Fair,UrbanEnviroment,Dirt,Snow,10,65.38950786056049,RootFailure,None,None,None,None,None
239,CedrusDeodara,24,80,Good,None,Dirt,Snow,8,25.0,BranchFailure,None,None,None,None,None
240,PyrusCalleryana,10,25,Fair,UrbanEnviroment,Dirt,Snow,6,10.0,BranchFailure,None,None,None,None,None
241,PyrusCalleryana,10,25,Fair,UrbanEnviroment,Dirt,Snow,4,10.0,BranchFailure,None,None,None,None,None
242,PyrusCalleryana,10,25,Fair,UrbanEnviroment,Dirt,Snow,8,10.0,BranchFailure,None,None,None,None,None
243,CercisOccidentalis,6,15,Good,UrbanEnviroment,Dirt,Snow,2,8.0,StemFailure,None,CodominantAttachement,None,None,None
244,CercisOccidentalis,6,15,Good,UrbanEnviroment,Dirt,Snow,2,8.0,StemFailure,None,CodominantAttachement,None,None,None
245,PinusNigra,27,55,Good,None,Dirt,Snow,10,25.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchHorizontal",None,None
246,PyrusCalleryana,9,20,Good,None,Dirt,Snow,2,10.0,BranchFailure,None,None,"BreakatAttachment,BranchAngledUp,CodominantAttachement,IncludedBark",None,None
247,PyrusCalleryana,9,20,Good,None,Dirt,Snow,2,10.0,BranchFailure,None,None,"BreakatAttachment,BranchAngledUp,CodominantAttachement,IncludedBark",None,None
248,PrunusSalicina,5,20,Fair,"UrbanEnviroment,RootsRestricted",Loam,None,3,12.0,BranchFailure,None,None,"BreakatAttachment,BranchAngledUp,OverExtendedBranch,ExcessiveCanopyRaising,ExcessiveWeight,MechanicalDamage",None,None
249,PseudotsugaMenziesii,30,100,Good,Lawn,Dirt,Snow,5,25.0,BranchFailure,None,None,"BreakatAttachment,BranchHorizontal",None,None
250,AcerMacrophyllum,35,65,Fair,"UrbanEnviroment,NaturalArea",Dirt,Snow,12,35.0,StemFailure,None,DecayPresent,None,"Sapwood,Decay<25%",None
251,PinusNigra,23,60,Good,None,Dirt,Snow,8,25.0,BranchFailure,None,None,None,None,None
252,AcerPlatanoides,35,45,Good,None,Dirt,Snow,10,21.140229885057472,BranchFailure,None,None,None,None,None
253,AlnusRubra,35,55,Fair,None,Dirt,Snow,35,58.63636363636363,RootFailure,UncorrectedTreeLean,None,None,None,None
254,AcerMacrophyllum,29,75,Poor,None,Dirt,None,20,57.333333333333336,StemFailure,None,None,None,None,None
255,AcerMacrophyllum,72,75,Fair,None,Dirt,Snow,8,34.375,BranchFailure,None,None,None,None,None
256,AcerMacrophyllum,31,75,Poor,None,Dirt,Snow,21,57.333333333333336,StemFailure,None,None,None,None,None
257,AcerMacrophyllum,61,75,Poor,None,Dirt,Snow,19,57.333333333333336,StemFailure,None,None,None,None,None
258,PinusNigra,23,75,Good,None,Dirt,Snow,12,40.0,StemFailure,None,None,None,None,None
259,ThujaPlicata,40,75,Good,None,Dirt,Snow,12,42.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
260,CedrusDeodara,34,80,Good,None,Dirt,Snow,5,21.666666666666668,BranchFailure,None,None,None,None,None
261,BetulaPapyrifera,12,25,Good,None,Dirt,Snow,8,10.0,BranchFailure,None,None,"BreakatAttachment,BranchHorizontal",None,None
262,SalixScouleriana,24,30,Fair,None,Dirt,Snow,24,49.1165611814346,StemFailure,None,None,None,None,None
263,CupressusNootkatensis,18,36,Good,None,Dirt,Snow,9,49.1165611814346,StemFailure,None,DidNotBreakatAttachment,None,None,None
264,AcerMacrophyllum,25,55,Fair,None,Dirt,Snow,16,57.333333333333336,StemFailure,None,DidNotBreakatAttachment,None,None,None
265,AcerMacrophyllum,45,75,Poor,"SteepSlope,NaturalArea",Dirt,Snow,22,65.0,StemFailure,None,"DidNotBreakatAttachment,UncorrectedTreeLean",None,None,None
266,PiceaGlauca,16,25,Fair,None,Dirt,Snow,16,49.1165611814346,StemFailure,None,DidNotBreakatAttachment,None,None,None
267,PinusSylvestris,23,35,Good,"UrbanEnviroment,SteepSlope",Dirt,Snow,10,20.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchHorizontal",None,None
268,PinusNigra,11,25,Poor,None,Dirt,Snow,11,65.38950786056049,RootFailure,"UncorrectedTreeLean,CorrectedTreeLean",None,None,None,None
269,PinusContorta,15,20,Fair,None,Dirt,Snow,7,31.25,StemFailure,None,None,None,None,None
270,AlnusRubra,8,25,Dead,None,Dirt,Snow,8,51.0,StemFailure,None,None,None,None,None
271,PinusContorta,12,20,Good,"UrbanEnviroment,SteepSlope",Dirt,Snow,3,10.0,BranchFailure,None,None,None,None,None
272,PrunusCerasifera,15,20,Good,None,Dirt,Snow,6,15.0,BranchFailure,None,None,None,None,None
273,PrunusCerasifera,13,20,Good,None,Dirt,Snow,4,15.0,BranchFailure,None,None,None,None,None
274,PrunusCerasifera,13,20,Good,None,Dirt,Snow,4,15.0,BranchFailure,None,None,None,None,None
275,AlnusRubra,21,65,Poor,None,Dirt,Snow,16,58.63636363636363,RootFailure,None,None,None,None,None
276,AlnusRubra,7,25,Poor,None,Dirt,Snow,5,51.0,StemFailure,None,None,None,None,None
277,PinusContorta,14,20,Good,None,Dirt,Snow,14,65.38950786056049,RootFailure,None,None,None,None,None
278,PseudotsugaMenziesii,9,45,Poor,None,Dirt,Snow,9,83.0,RootFailure,None,None,None,None,None
279,BetulaPapyrifera,21,50,Good,None,Dirt,Snow,21,65.38950786056049,RootFailure,None,None,None,None,None
280,AlnusRubra,14,60,Dead,None,Dirt,Snow,14,58.63636363636363,RootFailure,None,None,None,None,None
281,SalixLasiandra,10,35,Good,NaturalArea,Dirt,Snow,10,35.0,RootFailure,RootPlateLifted,None,None,None,None
282,SalixHookeriana,60,40,Fair,NaturalArea,Dirt,Snow,6,20.0,BranchFailure,None,None,BranchAngledUp,None,None
283,AcerCircinatum,4,10,Good,NaturalArea,Dirt,Snow,2,10.0,StemFailure,None,"CodominantAttachement,CorrectedTreeLean",None,None,None
284,AcerCircinatum,4,10,Good,NaturalArea,Dirt,Snow,2,10.0,StemFailure,None,"CodominantAttachement,CorrectedTreeLean",None,None,None
285,PrunusCerasifera,20,30,Fair,None,Dirt,Snow,20,25.0,RootFailure,"UncorrectedTreeLean,CorrectedTreeLean,RootPlateLifted",None,None,None,None
286,AcerMacrophyllum,16,60,Good,"NaturalArea,RootsRestricted",Clay,Snow,16,60.0,RootFailure,RootPlateLifted,None,None,None,None
287,AcerMacrophyllum,29,70,Fair,"NaturalArea,RootsRestricted",Clay,Snow,30,65.0,StemFailure,None,"DidNotBreakatAttachment,Cavity,DecayPresent",None,"Heartwood,Decay>50%",KretzchmariaDuesta
288,ArbutusMenziesii,36,50,Fair,UrbanEnviroment,Dirt,Snow,8,20.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchAngledUp","Sapwood,Decay<25%",NeofusicoccumArbuti
289,CedrusAtlantica,27,80,Good,None,Dirt,Snow,6,20.0,BranchFailure,None,None,None,None,None
290,CedrusAtlantica,25,70,Good,None,Dirt,Snow,8,15.0,BranchFailure,None,None,None,None,None
291,PinusSylvestris,14,35,Good,None,Dirt,Snow,5,20.0,BranchFailure,None,None,None,None,None
292,TsugaHeterophylla,15,75,Fair,NaturalArea,Dirt,Snow,15,75.0,RootFailure,"RootPlateLifted,SoilFailure",None,None,None,None
293,ThujaPlicata,19,75,Fair,NaturalArea,Dirt,Snow,19,75.0,RootFailure,"RootPlateLifted,SoilFailure",None,None,None,None
294,AcerMacrophyllum,34,75,Poor,"NaturalArea,SteepSlope",Dirt,Snow,20,75.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,IncludedBark,Cavity",None,"Heartwood,Decay>50%",KretzchmariaDuesta
295,CedrusAtlantica,21,40,Good,UrbanEnviroment,Dirt,Snow,8,20.0,BranchFailure,None,None,None,None,None
296,PinusContorta,15,30,Good,None,Dirt,Snow,6,10.0,BranchFailure,None,None,None,None,None
297,PinusContorta,10,30,Good,None,Dirt,Snow,4,10.0,BranchFailure,None,None,None,None,None
298,PseudotsugaMenziesii,18,75,Good,None,Dirt,Snow,3,15.833333333333334,BranchFailure,None,None,None,None,None
299,PseudotsugaMenziesii,18,75,Good,None,Dirt,Snow,3,15.833333333333334,BranchFailure,None,None,None,None,None
300,AcerMacrophyllum,48,80,Fair,None,Dirt,Snow,20,60.0,StemFailure,None,"DidNotBreakatAttachment,CodominantAttachement,CorrectedTreeLean",None,None,None
301,AcerMacrophyllum,23,75,Fair,None,Dirt,Snow,23,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
302,AcerMacrophyllum,17,75,Fair,None,Dirt,Snow,23,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
303,SalixBabylonica,15,30,Good,None,Dirt,Snow,7,10.0,BranchFailure,None,None,None,None,None
304,PinusSylvestris,12,35,Good,None,Dirt,Snow,7,18.333333333333332,StemFailure,None,None,None,None,None
305,AcerMacrophyllum,20,60,Fair,None,Dirt,Snow,20,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
306,PopulusTrichocarpa,67,100,Poor,"UrbanEnviroment,SoilCompaction",Clay,"Snow,Wind",67,100.0,StemFailure,None,"BreakatAttachment,CodominantAttachement,DecayPresent",None,"Heartwood,Sapwood,Decay>75%","ArmillariaSpp.,KretzchmariaDuesta"
307,PopulusTrichocarpa,18,50,Fair,None,Dirt,Snow,3,25.0,BranchFailure,None,None,"BranchAngledUp,BreakatAttachment",None,None
308,ArbutusMenziesii,17,40,Good,None,Dirt,Snow,4,18.0,BranchFailure,None,None,BranchHorizontal,None,None
309,AlnusRubra,22,60,Fair,"SteepSlope,NaturalArea",Clay,Snow,22,60.0,StemFailure,None,UncorrectedTreeLean,None,None,None
310,AcerMacrophyllum,16,50,Fair,SteepSlope,Dirt,Snow,8,40.0,StemFailure,None,"DidNotBreakatAttachment,CodominantAttachement,UncorrectedTreeLean",None,None,None
311,PrunusCerasifera,10,35,Good,NaturalArea,Dirt,Snow,4,15.0,StemFailure,None,"DidNotBreakatAttachment,UncorrectedTreeLean",None,None,None
312,BetulaPapyrifera,12,35,Good,NaturalArea,Dirt,Snow,3,10.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchAngledUp",None,None
313,PseudotsugaMenziesii,14,50,Good,None,Dirt,Snow,10,30.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
314,ThujaPlicata,18,60,Good,NaturalArea,Dirt,Snow,3,15.0,BranchFailure,None,None,None,None,None
315,PinusContorta,16,50,Good,None,Dirt,Snow,8,25.0,StemFailure,None,DidNotBreakatAttachment,None,None,None
316,SalixLasiandra,12,30,Fair,None,Dirt,Snow,7,15.0,StemFailure,None,"DidNotBreakatAttachment,UncorrectedTreeLean",None,None,None
317,PinusMonticola,24,80,Fair,None,Dirt,Snow,9,30.0,StemFailure,None,"CodominantAttachement,DidNotBreakatAttachment",None,None,None
318,PrunusLaurocerasus,8,30,Good,None,Dirt,Snow,8,49.1165611814346,StemFailure,None,None,None,None,None
319,PinusContorta,8,30,Good,None,Dirt,Snow,4,20.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchHorizontal",None,None
320,PrunusCerasifera,6,25,Good,None,Dirt,Snow,4,15.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchHorizontal",None,None
321,SalixLasiandra,12,35,Good,None,Dirt,Snow,4,15.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchHorizontal",None,None
322,TsugaHeterophylla,14,55,Good,NaturalArea,Dirt,Snow,14,55.0,RootFailure,RootPlateLifted,None,None,None,None
323,PinusContorta,11,30,Good,None,Dirt,Snow,12,35.0,StemFailure,None,"DidNotBreakatAttachment,UncorrectedTreeLean",None,None,None
324,CupressusX,14,40,Good,None,Dirt,Snow,4,15.0,BranchFailure,None,None,None,None,None
325,PseudotsugaMenziesii,22,50,Good,Lawn,Dirt,Snow,20,4.0,RootFailure,BrokenRoots,None,None,Root,PhellinusWeirii
326,AbiesGrandis,20,45,Fair,NaturalArea,Dirt,Wind,20,80.0,RootFailure,RootPlateLifted,None,None,None,None
327,PinusMonticola,40,50,Good,None,Dirt,Snow,6,48.333333333333336,StemFailure,None,None,None,None,None
328,CedrusDeodara,31,40,Good,None,Dirt,Snow,9,21.666666666666668,BranchFailure,None,None,None,None,None
329,PseudotsugaMenziesii,37,100,Good,None,Dirt,Snow,8,15.833333333333334,BranchFailure,None,None,None,None,None
330,CedrusAtlantica,59,75,Good,None,Dirt,Snow,10,17.5,BranchFailure,None,None,None,None,None
331,UlmusProcera,19,40,Good,None,Dirt,Snow,2,40.0,BranchFailure,None,None,None,None,None
332,UlmusProcera,22,30,Good,None,Dirt,Snow,5,49.1165611814346,StemFailure,None,None,None,None,None
333,AlnusRubra,24,80,Fair,None,Dirt,Snow,24,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
334,AlnusRubra,48,80,Fair,None,Dirt,Snow,48,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
335,PinusResinosa,41,40,Dead,None,Dirt,Snow,41,65.38950786056049,RootFailure,None,None,None,None,None
336,PrunusAvium,6,25,Dead,None,Dirt,Snow,6,54.0,RootFailure,None,None,None,None,None
337,AcerMacrophyllum,12,25,Poor,None,Dirt,Snow,12,58.63636363636363,RootFailure,None,None,None,None,None
338,PseudotsugaMenziesii,26,90,Good,None,Dirt,Snow,6,15.833333333333334,BranchFailure,None,None,None,None,None
339,PinusNigra,14,25,Fair,None,Dirt,Snow,8,40.0,StemFailure,None,None,None,None,None
340,PinusNigra,12,40,Fair,None,Dirt,Snow,6,40.0,StemFailure,None,None,None,None,None
341,PinusContorta,21,30,Good,None,Dirt,Snow,4,12.5,BranchFailure,None,None,None,None,None
342,PinusContorta,21,45,Fair,None,Dirt,Snow,5,12.5,BranchFailure,None,None,None,None,None
343,AcerMacrophyllum,41,65,Fair,None,Dirt,Snow,27,57.333333333333336,StemFailure,None,None,None,None,None
344,PinusNigra,16,10,Dead,None,Dirt,Snow,14,40.0,StemFailure,None,None,None,None,None
345,AlnusRubra,45,35,Fair,None,Dirt,Snow,45,51.0,StemFailure,None,None,None,None,None
346,AcerMacrophyllum,36,50,Fair,NaturalArea,Dirt,Snow,50,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
347,SalixLasiandra,20,40,Good,"NaturalArea,SoilCompaction",Dirt,Snow,3,10.0,BranchFailure,None,None,"DidNotBreakatAttachment,BranchAngledUp",None,None
348,PseudotsugaMenziesii,48,120,Fair,"NaturalArea,SoilCompaction",Dirt,Snow,44,100.0,StemFailure,None,"DidNotBreakatAttachment,DecayPresent",None,"Heartwood,Decay>75%","PhaeolusSchweinitzii,PorodadaleaPini"
349,PseudotsugaMenziesii,20,802080,Fair,"NaturalArea,SoilCompaction",Dirt,Snow,20,80.0,RootFailure,RootPlateLifted,None,None,None,None
350,PseudotsugaMenziesii,30,65,Fair,"NaturalArea,SoilCompaction",Dirt,Snow,4,15.0,BranchFailure,None,None,None,None,None
351,PopulusTrichocarpa,26,85,Fair,None,Dirt,"Snow,Wind",26,92.0,RootFailure,RootPlateLifted,None,None,None,None
352,AlnusRubra,20,75,Fair,None,Dirt,Snow,20,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
353,AcerMacrophyllum,25,75,Fair,None,Dirt,Snow,20,58.63636363636363,RootFailure,RootPlateLifted,None,None,None,None
354,TsugaHeterophylla,30,100,Fair,None,Dirt,Snow,20,100.0,RootFailure,SoilFailure,None,None,None,None
355,AlnusRubra,10,45,Fair,None,Dirt,Snow,10,40.0,StemFailure,None,UncorrectedTreeLean,None,None,None
356,AlnusRubra,14,60,Fair,None,Dirt,Snow,14,50.0,StemFailure,None,"UncorrectedTreeLean,CodominantAttachement,BreakatAttachment",None,None,None
357,PinusSylvestris,14,30,Poor,None,Dirt,Snow,14,65.38950786056049,RootFailure,None,None,None,None,None
358,AcerMacrophyllum,26,80,Fair,None,Dirt,Snow,21,57.333333333333336,StemFailure,None,None,None,None,None
359,CedrusDeodara,40,50,Good,None,Dirt,Snow,1,21.666666666666668,BranchFailure,None,None,None,None,None
360,PseudotsugaMenziesii,37,100,Good,None,Dirt,Snow,8,15.833333333333334,BranchFailure,None,None,None,None,None
361,TaxusBaccata,30,45,Good,None,Dirt,Snow,7,21.140229885057472,BranchFailure,None,None,None,None,None
362,CedrusDeodara,27,60,Good,None,Dirt,Snow,6,21.666666666666668,BranchFailure,None,None,None,None,None
363,AcerRubrum,20,45,Good,None,Dirt,Snow,3,21.140229885057472,BranchFailure,None,None,None,None,None
364,FraxinusLatifolia,13,30,Good,None,Dirt,Snow,2,27.5,BranchFailure,None,None,None,None,None
